iter	Logloss
0	0.6641245828
1	0.6323108303
2	0.607650429
3	0.5837859531
4	0.5636639543
5	0.5458487305
6	0.5316892905
7	0.5165108657
8	0.5040733756
9	0.4940097057
10	0.4818778382
11	0.4712813428
12	0.4652440609
13	0.4566639949
14	0.4507007714
15	0.4435671332
16	0.4361973132
17	0.4307511561
18	0.425274166
19	0.4191122248
20	0.416205159
21	0.4114300504
22	0.4056153336
23	0.4028473611
24	0.3983990989
25	0.3939362531
26	0.3906469233
27	0.3890820492
28	0.3870883941
29	0.3834786635
30	0.3814367302
31	0.3788054252
32	0.3769554214
33	0.3753568142
34	0.3728596067
35	0.3718039436
36	0.3691258105
37	0.3670374302
38	0.3638369182
39	0.3607794939
40	0.3591232818
41	0.3570495795
42	0.3544482227
43	0.3531002244
44	0.3518255544
45	0.3506610368
46	0.3491247978
47	0.3474643844
48	0.3459759066
49	0.3446591269
50	0.3435493122
51	0.3424081035
52	0.3411566325
53	0.3397073346
54	0.3377715625
55	0.3369178488
56	0.3351685555
57	0.334014004
58	0.3328763806
59	0.3311015732
60	0.3297944172
61	0.3278198602
62	0.3259078101
63	0.3251786488
64	0.3239546069
65	0.3234193304
66	0.3228830097
67	0.3211206979
68	0.3207376597
69	0.3194281731
70	0.3185401658
71	0.3177642719
72	0.316229858
73	0.3143909519
74	0.3132609175
75	0.3118048559
76	0.310608878
77	0.3100090271
78	0.3092822428
79	0.3075235337
80	0.3071120934
81	0.3057317902
82	0.3049598273
83	0.3037597325
84	0.3023660398
85	0.3016475486
86	0.3012226216
87	0.3004691593
88	0.2989473978
89	0.2985089982
90	0.2975257712
91	0.2961116086
92	0.2956542407
93	0.2949913086
94	0.2937218067
95	0.2932632427
96	0.2929292291
97	0.2923458656
98	0.2919426569
99	0.2912985395
100	0.2902141639
101	0.2893223787
102	0.2882458102
103	0.287499702
104	0.2862317764
105	0.2849684796
106	0.2842264845
107	0.2837844211
108	0.2831131385
109	0.2823285638
110	0.2816867758
111	0.2800579848
112	0.2792417713
113	0.2781709749
114	0.2776834222
115	0.2770581962
116	0.2767475604
117	0.2756024358
118	0.2751224287
119	0.2739480313
120	0.2731192696
121	0.272702005
122	0.2713647972
123	0.2702147578
124	0.2699137331
125	0.2688466386
126	0.2685405181
127	0.2678446796
128	0.2673155067
129	0.2663898278
130	0.2656099375
131	0.2646098167
132	0.2642916462
133	0.2637313261
134	0.2632587912
135	0.2627304146
136	0.2615988073
137	0.2606202
138	0.259822494
139	0.2589256401
140	0.2584208428
141	0.2579723853
142	0.2573269564
143	0.2569084921
144	0.2563166285
145	0.2553651568
146	0.2540573436
147	0.2532698225
148	0.2528935298
149	0.2525775852
150	0.2518033599
151	0.2504132429
152	0.2495548299
153	0.2486621203
154	0.2477497116
155	0.2473730788
156	0.2466069184
157	0.2459705448
158	0.2449890131
159	0.2444367543
160	0.2438621639
161	0.2428509495
