iter	Passed	Remaining
0	2	2880
1	5	2652
2	7	2547
3	10	2493
4	12	2454
5	14	2423
6	16	2404
7	19	2394
8	21	2390
9	24	2381
10	26	2371
11	28	2360
12	30	2302
13	32	2299
14	34	2292
15	37	2313
16	39	2311
17	42	2316
18	44	2314
19	47	2311
20	49	2310
21	52	2314
22	54	2312
23	56	2310
24	59	2321
25	61	2318
26	64	2315
27	66	2312
28	68	2308
29	71	2305
30	73	2302
31	76	2303
32	78	2299
33	80	2297
34	83	2294
35	84	2272
36	87	2269
37	89	2265
38	92	2269
39	94	2266
40	96	2267
41	99	2265
42	101	2263
43	104	2260
44	106	2264
45	109	2261
46	111	2258
47	113	2255
48	116	2252
49	118	2248
50	120	2246
51	123	2247
52	125	2243
53	128	2247
54	131	2264
55	134	2264
56	136	2263
57	139	2269
58	142	2271
59	144	2269
60	147	2268
61	149	2268
62	152	2269
63	155	2271
64	157	2269
65	160	2273
66	163	2280
67	166	2288
68	170	2301
69	174	2324
70	178	2334
71	182	2348
72	186	2365
73	190	2378
74	194	2397
75	199	2420
76	202	2429
77	206	2435
78	209	2437
79	212	2443
80	215	2449
81	219	2458
82	222	2462
83	226	2466
84	229	2469
85	232	2471
86	235	2473
87	239	2479
88	242	2479
89	245	2480
90	248	2483
91	252	2487
92	255	2487
93	258	2487
94	261	2488
95	264	2490
96	268	2503
97	272	2506
98	275	2507
99	278	2505
100	281	2501
101	284	2500
102	286	2495
103	288	2489
104	291	2483
105	293	2477
106	296	2471
107	298	2465
108	301	2461
109	303	2455
110	305	2450
111	308	2444
112	311	2445
113	313	2440
114	316	2436
115	319	2431
116	321	2426
117	323	2420
118	326	2418
119	328	2412
120	331	2407
121	333	2403
122	336	2398
123	338	2392
124	341	2389
125	343	2384
126	346	2379
127	349	2377
128	351	2373
129	353	2368
130	356	2365
131	359	2361
132	361	2356
133	363	2351
134	366	2347
135	369	2345
136	371	2342
137	374	2338
138	376	2334
139	379	2330
140	382	2330
141	385	2329
142	388	2326
143	390	2322
144	393	2319
145	395	2315
146	398	2312
147	401	2308
148	403	2306
149	406	2304
150	409	2301
151	411	2297
152	414	2294
153	416	2290
154	419	2285
155	421	2281
156	424	2278
157	426	2273
158	429	2271
159	431	2267
160	434	2263
161	436	2259
162	439	2254
163	441	2250
164	443	2246
165	446	2243
166	448	2237
167	450	2233
168	453	2229
169	455	2225
170	458	2222
171	460	2218
172	463	2214
173	465	2210
174	468	2206
175	470	2202
176	472	2198
177	475	2195
178	478	2193
179	480	2189
180	483	2185
181	485	2181
182	487	2177
183	490	2173
184	492	2170
185	495	2166
186	497	2162
187	499	2159
188	502	2155
189	504	2152
190	507	2148
191	509	2145
192	512	2141
193	514	2137
194	516	2133
195	519	2131
196	521	2127
197	524	2123
198	526	2121
199	529	2117
200	531	2113
201	534	2109
202	537	2109
203	540	2107
204	542	2105
205	545	2101
206	547	2098
207	550	2094
208	552	2091
209	555	2087
210	557	2084
211	559	2080
212	562	2076
213	564	2073
214	566	2069
